resultID,studyName,riskFactorName,fatality,fatalityLowerBound,fatalityUpperBound,fatalitypValue,fatalitySignificance,fatalityAdjusted,fatalityCalculated
7be3541d1d21,"Age-adjusted associations between comorbidity and outcomes of COVID-19: a review of the evidence","Heart Disease",AHR=1.40,0.65,3.03,,"Not Significant",Adjusted,Extracted
c7988518f7bf,"Age-adjusted associations between comorbidity and outcomes of COVID-19: a review of the evidence","Cerebrovascular disease",AHR=1.71,0.71,4.09,,"Not Significant",Adjusted,Extracted
32161e330f66,"Anakinra for severe forms of COVID-19: a cohort study","Male gender",,,,,,,
7c4be316c13d,"Analysis of hospitalized COVID-19 patients in the Mount Sinai Health System using electronic medical records (EMR) reveals important prognostic factors for improved clinical outcomes","Ethnicity_ Hispanic vs","OR 0.52",0.83,0.0,,Significant,"Not Adjusted",Calculated
802a04fc5738,"Analysis of hospitalized COVID-19 patients in the Mount Sinai Health System using electronic medical records (EMR) reveals important prognostic factors for improved clinical outcomes","Race_ Black vs","OR 0.63",1.0,0.05,,"Not Significant","Not Adjusted",Calculated
8cdfc7a016aa,"Analysis of hospitalized COVID-19 patients in the Mount Sinai Health System using electronic medical records (EMR) reveals important prognostic factors for improved clinical outcomes",Hypertension,"OR 1.42",1.99,0.0,,Significant,"Not Adjusted",Calculated
a0a9b26cd0be,"Analysis of hospitalized COVID-19 patients in the Mount Sinai Health System using electronic medical records (EMR) reveals important prognostic factors for improved clinical outcomes","Overweight or obese","OR 0.68",1.26,0.63,,"Not Significant","Not Adjusted",Calculated
a13b870cdbed,"Analysis of hospitalized COVID-19 patients in the Mount Sinai Health System using electronic medical records (EMR) reveals important prognostic factors for improved clinical outcomes","Smoking Status","OR 1.25",1.85,0.0,,Significant,"Not Adjusted",Calculated
a7b6c9457e44,"Analysis of hospitalized COVID-19 patients in the Mount Sinai Health System using electronic medical records (EMR) reveals important prognostic factors for improved clinical outcomes",Cancer,"OR 0.93",1.7,0.14,,"Not Significant","Not Adjusted",Calculated
ca6ac61eb323,"Analysis of hospitalized COVID-19 patients in the Mount Sinai Health System using electronic medical records (EMR) reveals important prognostic factors for improved clinical outcomes",Diabetes,"OR 1.19",1.72,0.0,,Significant,"Not Adjusted",Calculated
ed5f995e03ce,"Analysis of hospitalized COVID-19 patients in the Mount Sinai Health System using electronic medical records (EMR) reveals important prognostic factors for improved clinical outcomes","Male gender","OR 0.98",1.36,0.09,,"Not Significant","Not Adjusted",Calculated
6e627f1c1448,"Analysis of myocardial injury in patients with COVID-19 and association between concomitant cardiovascular diseases and severity of COVID-19",Age,,,,,,,
cb7493537268,"Analysis of myocardial injury in patients with COVID-19 and association between concomitant cardiovascular diseases and severity of COVID-19",Age,,,,,,,
8ea642752aca,"Association between ABO blood groups and clinical outcome of coronavirus disease 2019: Evidence from two cohorts","Heart Disease","OR 1.15",0.41,3.23,0.79,"Not Significant","Not Adjusted",Calculated
adeadbf175ee,"Association between ABO blood groups and clinical outcome of coronavirus disease 2019: Evidence from two cohorts","Male gender","OR 0.50",0.19,1.33,0.17,"Not Significant","Not Adjusted",Calculated
0c21545389ca,"Association between Cardiovascular Burden and Requirement of Intensive Care among Patients with Mild COVID-19",Hypertension,,,,,,,
1ccfa5bf0fa7,"Association between Cardiovascular Burden and Requirement of Intensive Care among Patients with Mild COVID-19","Heart Disease",,,,,,,
2c91cfcc9ca4,"Association between Cardiovascular Burden and Requirement of Intensive Care among Patients with Mild COVID-19","Male gender",,,,,,,
33dcac4e992f,"Association between Cardiovascular Burden and Requirement of Intensive Care among Patients with Mild COVID-19",Age,,,,,,,
37a4c6945451,"Association between Cardiovascular Burden and Requirement of Intensive Care among Patients with Mild COVID-19","Heart Disease",,,,,,,
63d181c7c402,"Association between Cardiovascular Burden and Requirement of Intensive Care among Patients with Mild COVID-19","Heart Disease",,,,,,,
82953e23e3bb,"Association between Cardiovascular Burden and Requirement of Intensive Care among Patients with Mild COVID-19","Male gender",,,,,,,
c0fa3f8000b5,"Association between Cardiovascular Burden and Requirement of Intensive Care among Patients with Mild COVID-19",Age,,,,,,,
c631f45e8aec,"Association between Cardiovascular Burden and Requirement of Intensive Care among Patients with Mild COVID-19",Age,,,,,,,
de12de4b1c05,"Association between Cardiovascular Burden and Requirement of Intensive Care among Patients with Mild COVID-19","Male gender",,,,,,,
e6875c2b3e44,"Association between Cardiovascular Burden and Requirement of Intensive Care among Patients with Mild COVID-19",Age,,,,,,,
ee06e150bc0a,"Association between Cardiovascular Burden and Requirement of Intensive Care among Patients with Mild COVID-19","Heart Disease",,,,,,,
eef507832c15,"Association between Cardiovascular Burden and Requirement of Intensive Care among Patients with Mild COVID-19","Male gender",,,,,,,
04a53632f7b1,"Association between comorbidities and the risk of death in patients with COVID-19: sex-specific differences","Chronic respiratory diseases",AHR=1.06,0.8,1.4,,"Not Signficant",Adjusted,Extracted
06358bc98877,"Association between comorbidities and the risk of death in patients with COVID-19: sex-specific differences",Diabetes,AHR=1.35,1.13,1.62,,Significant,Adjusted,Extracted
09ebf940f729,"Association between comorbidities and the risk of death in patients with COVID-19: sex-specific differences","Cerebrovascular disease",AHR=1.95,1.64,2.31,,Significant,Adjusted,Extracted
157c8da36124,"Association between comorbidities and the risk of death in patients with COVID-19: sex-specific differences","Chronic kidney disease",AHR=3.25,2.29,4.63,,Significant,Adjusted,Extracted
1c550511ea93,"Association between comorbidities and the risk of death in patients with COVID-19: sex-specific differences",Diabetes,AHR=1.65,1.37,1.97,,Significant,Adjusted,Extracted
358f4680cd2b,"Association between comorbidities and the risk of death in patients with COVID-19: sex-specific differences","Cerebrovascular disease",HR=5.08,4.29,6.02,,Significant,"Not Adjusted",Extracted
49fb2155dc6d,"Association between comorbidities and the risk of death in patients with COVID-19: sex-specific differences","Cerebrovascular disease",AHR=1.98,1.67,2.36,,Significant,Adjusted,Extracted
52b199b12a8e,"Association between comorbidities and the risk of death in patients with COVID-19: sex-specific differences","Chronic respiratory diseases",AHR=1.26,0.95,1.67,,"Not Signficant",Adjusted,Extracted
5fab71bd1f8f,"Association between comorbidities and the risk of death in patients with COVID-19: sex-specific differences",Hypertension,AHR=1.67,1.46,1.92,,Significant,Adjusted,Extracted
658264cd04d2,"Association between comorbidities and the risk of death in patients with COVID-19: sex-specific differences","Chronic kidney disease",AHR=3.23,2.27,4.6,,Significant,Adjusted,Extracted
6cfde535a51e,"Association between comorbidities and the risk of death in patients with COVID-19: sex-specific differences",Hypertension,AHR=1.55,1.35,1.78,,Significant,Adjusted,Extracted
7d0b200513ff,"Association between comorbidities and the risk of death in patients with COVID-19: sex-specific differences",Hypertension,HR=3.74,3.27,4.28,,Significant,"Not Adjusted",Extracted
7edf13c0ef3c,"Association between comorbidities and the risk of death in patients with COVID-19: sex-specific differences",Hypertension,AHR=1.7,1.48,1.95,,Significant,Adjusted,Extracted
809ea1c49c20,"Association between comorbidities and the risk of death in patients with COVID-19: sex-specific differences","Chronic respiratory diseases",HR=2.5,1.89,3.3,,Significant,"Not Adjusted",Extracted
b3eb06e0dfc6,"Association between comorbidities and the risk of death in patients with COVID-19: sex-specific differences","Chronic kidney disease",HR=5.05,3.55,7.18,,Significant,"Not Adjusted",Extracted
b5bcff50cdf7,"Association between comorbidities and the risk of death in patients with COVID-19: sex-specific differences",Diabetes,HR=3.25,2.71,3.89,,Significant,"Not Adjusted",Extracted
b6e1586790cd,"Association between comorbidities and the risk of death in patients with COVID-19: sex-specific differences","Chronic respiratory diseases",AHR=1.33,1.01,1.75,,Significant,Adjusted,Extracted
bded69a0a2c5,"Association between comorbidities and the risk of death in patients with COVID-19: sex-specific differences","Cerebrovascular disease",AHR=1.7,1.43,2.02,,Significant,Adjusted,Extracted
d27f2bc71af8,"Association between comorbidities and the risk of death in patients with COVID-19: sex-specific differences","Chronic kidney disease",AHR=2.09,1.47,2.98,,Significant,"Not Adjusted",Extracted
e6b7457613e0,"Association between comorbidities and the risk of death in patients with COVID-19: sex-specific differences",Diabetes,AHR=1.66,1.39,1.99,,Significant,Adjusted,Extracted
43296d2af232,"Association between rRT-PCR test results upon admission and outcome in hospitalized chest CT-Positive COVID-19 patients; a provincial retrospective cohort with active follow-up","Chronic respiratory diseases","OR 1.28",0.43,3.79,0.44,"Not Significant",Adjusted,Extracted
66040e9ec111,"Association between rRT-PCR test results upon admission and outcome in hospitalized chest CT-Positive COVID-19 patients; a provincial retrospective cohort with active follow-up","Male gender","OR 1.16",0.74,1.81,0.51,"Not Significant",Adjusted,Extracted
788b27b7b948,"Association between rRT-PCR test results upon admission and outcome in hospitalized chest CT-Positive COVID-19 patients; a provincial retrospective cohort with active follow-up","Heart Disease","OR 1.57",0.86,2.87,0.19,"Not Significant",Adjusted,Extracted
7f8bccbb5513,"Association between rRT-PCR test results upon admission and outcome in hospitalized chest CT-Positive COVID-19 patients; a provincial retrospective cohort with active follow-up",Diabetes,"OR 1.39",0.73,2.64,0.29,"Not Significant",Adjusted,Extracted
95386ec528e8,"Association between rRT-PCR test results upon admission and outcome in hospitalized chest CT-Positive COVID-19 patients; a provincial retrospective cohort with active follow-up",Hypertension,"OR 0.99",0.44,2.2,0.99,"Not Significant",Adjusted,Extracted
f3f80b112a6d,"Association between rRT-PCR test results upon admission and outcome in hospitalized chest CT-Positive COVID-19 patients; a provincial retrospective cohort with active follow-up","Immune system disorders","OR 4.3",1.11,17.23,0.04,Significant,Adjusted,Extracted
231cba103266,"Association of age, sex, comorbidities, and clinical symptoms with the severity and mortality of COVID-19 cases: a meta-analysis with 85 studies and 67299 cases",Hypertension,OR=3.16,2.51,3.97,<0.05,Significant,"Not Adjusted",Extracted
414ef6c2193b,"Association of age, sex, comorbidities, and clinical symptoms with the severity and mortality of COVID-19 cases: a meta-analysis with 85 studies and 67299 cases",Diabetes,OR=2.45,1.82,3.3,<0.05,Significant,"Not Adjusted",Extracted
494326e8eb94,"Association of age, sex, comorbidities, and clinical symptoms with the severity and mortality of COVID-19 cases: a meta-analysis with 85 studies and 67299 cases","Heart Disease",OR=4.67,3.22,6.77,<0.05,Significant,"Not Adjusted",Extracted
594ed5f61008,"Association of age, sex, comorbidities, and clinical symptoms with the severity and mortality of COVID-19 cases: a meta-analysis with 85 studies and 67299 cases","Chronic liver disease",OR=2.81,1.31,6.01,<0.05,Significant,"Not Adjusted",Extracted
6639db10b2fe,"Association of age, sex, comorbidities, and clinical symptoms with the severity and mortality of COVID-19 cases: a meta-analysis with 85 studies and 67299 cases","Chronic digestive disorders",OR=1.43,0.52,3.98,0.5,"Not Significant","Not Adjusted",Extracted
6bb94866a4e5,"Association of age, sex, comorbidities, and clinical symptoms with the severity and mortality of COVID-19 cases: a meta-analysis with 85 studies and 67299 cases","Chronic respiratory diseases",OR=2.68,1.75,4.09,<0.05,Significant,"Not Adjusted",Extracted
6e0eff93810d,"Association of age, sex, comorbidities, and clinical symptoms with the severity and mortality of COVID-19 cases: a meta-analysis with 85 studies and 67299 cases","Male gender",OR=2.26,1.79,2.86,<0.05,Significant,"Not Adjusted",Extracted
84dcce6dcdbe,"Association of age, sex, comorbidities, and clinical symptoms with the severity and mortality of COVID-19 cases: a meta-analysis with 85 studies and 67299 cases","Cerebrovascular disease",OR=5.84,3.63,9.39,<0.05,Significant,"Not Adjusted",Extracted
991dd7e2ef0f,"Association of age, sex, comorbidities, and clinical symptoms with the severity and mortality of COVID-19 cases: a meta-analysis with 85 studies and 67299 cases",Cancer,OR=2.16,1.41,3.33,<0.05,Significant,"Not Adjusted",Extracted
c888f51cf959,"Association of age, sex, comorbidities, and clinical symptoms with the severity and mortality of COVID-19 cases: a meta-analysis with 85 studies and 67299 cases","Chronic kidney disease",OR=5.62,3.34,9.46,<0.05,Significant,"Not Adjusted",Extracted
9a190b409ac8,"Association of Cardiovascular Disease with Coronavirus Disease 2019 (COVID-19) Severity: A Meta-Analysis Association of Cardiovascular Disease with Coronavirus Disease 2019 (COVID-19) Severity: A Meta-Analysis","Heart Disease","OR 11.08",2.59,47.32,,Significant,"Not Adjusted",Extracted
5f220582ef81,"Association of Diabetes Mellitus with Disease Severity and Prognosis in COVID-19: A Retrospective Cohort Study",Diabetes,AHR=2.80,1.01,7.8,<0.05,Significant,Adjusted,Extracted
f90c3a946bcd,"Association of Digestive Symptoms and Hospitalization in Patients with SARS-CoV-2 Infection",Diabetes,,,,,,,
ff5d11496559,"Association of Digestive Symptoms and Hospitalization in Patients with SARS-CoV-2 Infection",Hypertension,,,,,,,
2f786b6ad440,"Association of hypertension with the severity and fatality of SARS-CoV-2 infection: A meta-analysis",Hypertension,OR=3.48,1.72,7.08,,Significant,"Not Adjusted",Extracted
0369b9a9374b,"Association of Obesity with Disease Severity among Patients with COVIDâ€19",Diabetes,,,,,,,
0ce704217100,"Association of Obesity with Disease Severity among Patients with COVIDâ€19","Overweight or obese",,,,,,,
0d6acf19c23a,"Association of Obesity with Disease Severity among Patients with COVIDâ€19","Overweight or obese",,,,,,,
0d9406bc02f2,"Association of Obesity with Disease Severity among Patients with COVIDâ€19","Race_ Black vs",,,,,,,
0da2741dd65c,"Association of Obesity with Disease Severity among Patients with COVIDâ€19","Chronic respiratory diseases",,,,,,,
1c3314fc5911,"Association of Obesity with Disease Severity among Patients with COVIDâ€19","Ethnicity_ Hispanic vs",,,,,,,
1d71312fddd6,"Association of Obesity with Disease Severity among Patients with COVIDâ€19","Heart Disease",,,,,,,
4325edd80299,"Association of Obesity with Disease Severity among Patients with COVIDâ€19","Race_ Black vs",,,,,,,
477ebf6be748,"Association of Obesity with Disease Severity among Patients with COVIDâ€19","Overweight or obese",,,,,,,
4af7efc0bdc2,"Association of Obesity with Disease Severity among Patients with COVIDâ€19","Smoking Status",,,,,,,
4c3fb04ec8f7,"Association of Obesity with Disease Severity among Patients with COVIDâ€19","Overweight or obese",,,,,,,
4f67c7a037e7,"Association of Obesity with Disease Severity among Patients with COVIDâ€19","Male gender",,,,,,,
6340233e1fd6,"Association of Obesity with Disease Severity among Patients with COVIDâ€19",Diabetes,,,,,,,
688bf01a7992,"Association of Obesity with Disease Severity among Patients with COVIDâ€19","Overweight or obese",,,,,,,
68f6b939c548,"Association of Obesity with Disease Severity among Patients with COVIDâ€19","Male gender",,,,,,,
77d03bbdbbd0,"Association of Obesity with Disease Severity among Patients with COVIDâ€19","Overweight or obese",,,,,,,
7d84ce02d4f1,"Association of Obesity with Disease Severity among Patients with COVIDâ€19",Hypertension,,,,,,,
8496f21dd177,"Association of Obesity with Disease Severity among Patients with COVIDâ€19","Ethnicity_ Hispanic vs",,,,,,,
8e32c133f315,"Association of Obesity with Disease Severity among Patients with COVIDâ€19","Male gender",,,,,,,
a5f92d7c93f5,"Association of Obesity with Disease Severity among Patients with COVIDâ€19","Heart Disease",,,,,,,
ade3cf5097bd,"Association of Obesity with Disease Severity among Patients with COVIDâ€19","Race_ Black vs",,,,,,,
b6972fb0157e,"Association of Obesity with Disease Severity among Patients with COVIDâ€19","Overweight or obese",,,,,,,
b70125496f3b,"Association of Obesity with Disease Severity among Patients with COVIDâ€19","Chronic respiratory diseases",,,,,,,
d217eda0ad5a,"Association of Obesity with Disease Severity among Patients with COVIDâ€19","Overweight or obese",,,,,,,
dc976c8c9aef,"Association of Obesity with Disease Severity among Patients with COVIDâ€19",Hypertension,,,,,,,
e7534262a14c,"Association of Obesity with Disease Severity among Patients with COVIDâ€19","Ethnicity_ Hispanic vs",,,,,,,
fdd77fd1932e,"Association of Obesity with Disease Severity among Patients with COVIDâ€19","Overweight or obese",,,,,,,
124601ed13ca,"Association of the insulin resistance marker TyG index with the severity and mortality of COVID-19","Heart Disease",,,,,,,
223134739378,"Association of the insulin resistance marker TyG index with the severity and mortality of COVID-19",Hypertension,,,,,,,
76d9474bd96f,"Association of the insulin resistance marker TyG index with the severity and mortality of COVID-19","Male gender",,,,,,,
c27fc480be39,"Association of the insulin resistance marker TyG index with the severity and mortality of COVID-19","Chronic kidney disease",,,,,,,
fee446a9bdee,"Association of the insulin resistance marker TyG index with the severity and mortality of COVID-19",Diabetes,,,,,,,
3ef85d158a1d,"Associations of clinical characteristics and antiviral drugs with viral RNA clearance in patients with COVID-19 in Guangzhou, China: a retrospective cohort study [medrxiv]","Smoking Status",,,,,,,
67ea24d5cf98,"Associations of clinical characteristics and antiviral drugs with viral RNA clearance in patients with COVID-19 in Guangzhou, China: a retrospective cohort study [medrxiv]","Male gender",,,,,,,
20b56660e259,"Asthma prolongs intubation in COVID-19",Asthma,,,,,,,
73d8ac88577d,"Asthma prolongs intubation in COVID-19",Asthma,,,,,,,
c180e8c97966,"Asthma prolongs intubation in COVID-19",Asthma,OR=2.56,0.57,11.5,0.22,"Not Significant","Not Adjusted",Extracted
15fa712ac535,"Blood glucose is a representative of the clustered indicators of multi-organ injury for predicting mortality of COVID-19 in Wuhan China","Male gender",,,,,,,
d62178bf081d,"Blood glucose is a representative of the clustered indicators of multi-organ injury for predicting mortality of COVID-19 in Wuhan China","Male gender",,,,,,,
3d38828f20fd,"Cancer is associated with the severity and mortality of patients with COVID-19: a systematic review and meta-analysis",Cancer,"OR 2.60",1.28,5.26,<0.01,Significant,"Not Adjusted",Extracted
d3cf20759362,"Cardiac injuries in patients with coronavirus disease 2019: Not to be ignored","Male gender","OR 0.41",3.11,0.81,,"Not Significant","Not Adjusted",Calculated
13878cde67c9,"Cardiovascular Disease, Drug Therapy, and Mortality in Covid-19","Race_ Black vs","OR 0.53",1.1,0.15,,"Not Significant","Not Adjusted",Calculated
1df28a5e0593,"Cardiovascular Disease, Drug Therapy, and Mortality in Covid-19",COPD,"OR 1.92",4.14,0.0,,Significant,"Not Adjusted",Calculated
5162822a9df7,"Cardiovascular Disease, Drug Therapy, and Mortality in Covid-19","Heart Disease",AOR=2.70,2.08,3.51,,Significant,Adjusted,Extracted
7a4064b1b7d2,"Cardiovascular Disease, Drug Therapy, and Mortality in Covid-19","Smoking Status",AOR=1.79,1.29,2.47,,Significant,Adjusted,Extracted
8e34560c5134,"Cardiovascular Disease, Drug Therapy, and Mortality in Covid-19",COPD,AOR=2.96,2.0,4.4,,Significant,Adjusted,Extracted
942536478807,"Cardiovascular Disease, Drug Therapy, and Mortality in Covid-19","Heart Disease","OR 1.65",2.59,0.0,,Significant,"Not Adjusted",Calculated
a3cf0e097396,"Cardiovascular Disease, Drug Therapy, and Mortality in Covid-19",Hypertension,"OR 0.77",1.16,0.56,,"Not Significant","Not Adjusted",Calculated
cdf2e81fa7c8,"Cardiovascular Disease, Drug Therapy, and Mortality in Covid-19","Smoking Status","OR 0.96",1.45,0.12,,"Not Significant","Not Adjusted",Calculated
f20a5e719a01,"Cardiovascular Disease, Drug Therapy, and Mortality in Covid-19","Ethnicity_ Hispanic vs","OR 0.63",1.33,0.64,,"Not Significant","Not Adjusted",Calculated
ff38090c6808,"Cardiovascular Disease, Drug Therapy, and Mortality in Covid-19",Diabetes,"OR 1.13",1.79,0.0,,Significant,"Not Adjusted",Calculated
aadfecbaff98,"Cardiovascular Diseases and COVID-19 Mortality and Intensive Care Unit Admission: A Systematic Review and Meta-analysis","Heart Disease",OR=1.95,1.17,3.24,,Significant,"Not Adjusted",Extracted
dd371e83dfb2,"Cardiovascular Diseases and COVID-19 Mortality and Intensive Care Unit Admission: A Systematic Review and Meta-analysis","Heart Failure",OR=11.73,5.17,26.6,,Significant,"Not Adjusted",Extracted
3225b54bcf28,"Cardiovascular Diseases and COVID-19 Mortality and Intensive Care Unit Admission: A Systematic Review and Meta-analysis [medrxiv]","Heart Disease","OR 1.95",1.17,3.24,,Significant,"Not Adjusted",Extracted
dc26755edd5f,"Cardiovascular Diseases and COVID-19 Mortality and Intensive Care Unit Admission: A Systematic Review and Meta-analysis [medrxiv]","Male gender","OR 1.61",1.16,2.23,,Significant,"Not Adjusted",Extracted
4744307292ee,"Case fatality risk of novel coronavirus diseases 2019 in China",Age,"OR 1.18",1.14,1.22,<0.01,Significant,Adjusted,Extracted
82408f5f31c9,"Caution on Kidney Dysfunctions of COVID-19 Patients","Chronic digestive disorders",,,,,,,
8e5a8ef45e82,"Caution on Kidney Dysfunctions of COVID-19 Patients","Cardio- and cerebrovascular disease",,,,,,,
de348ccfc336,"Caution on Kidney Dysfunctions of COVID-19 Patients","Chronic respiratory diseases",,,,,,,
ed28a6ea7d4d,"Caution on Kidney Dysfunctions of COVID-19 Patients","Endocrine diseases",,,,,,,
0a4105e05338,"Cerebrovascular disease is associated with an increased disease severity in patients with Coronavirus Disease 2019 (COVID-19): A pooled analysis of published literature","Cerebrovascular disease",OR=2.33,0.77,7.04,,"Not Significant","Not Adjusted",Extracted
155d550621e5,"Characteristics and clinical significance of myocardial injury in patients with severe coronavirus disease 2019","Male gender",AHR=0.92,0.43,1.99,0.84,"Not Significant",Adjusted,Extracted
289ce79fea6c,"Characteristics and clinical significance of myocardial injury in patients with severe coronavirus disease 2019","Male gender",AHR=0.78,0.33,1.86,0.57,"Not Significant",Adjusted,Extracted
2a24e7582511,"Characteristics and clinical significance of myocardial injury in patients with severe coronavirus disease 2019","Chronic kidney disease",AHR=1.40,0.44,4.4,0.57,"Not Significant",Adjusted,Extracted
2d927f14536f,"Characteristics and clinical significance of myocardial injury in patients with severe coronavirus disease 2019","Heart Disease",AHR=1.56,0.72,3.41,0.26,"Not Significant",Adjusted,Extracted
338ccce48187,"Characteristics and clinical significance of myocardial injury in patients with severe coronavirus disease 2019","Cerebrovascular disease",AHR=0.35,0.08,1.58,0.17,"Not Significant",Adjusted,Extracted
34f450abfd13,"Characteristics and clinical significance of myocardial injury in patients with severe coronavirus disease 2019","Chronic kidney disease",AHR=1.60,0.52,4.91,0.41,"Not Significant",Adjusted,Extracted
3c0a0abbd4cc,"Characteristics and clinical significance of myocardial injury in patients with severe coronavirus disease 2019",Hypertension,AHR=1.07,0.46,2.53,0.87,"Not Significant",Adjusted,Extracted
538820f55f1e,"Characteristics and clinical significance of myocardial injury in patients with severe coronavirus disease 2019",Hypertension,AHR=0.97,0.43,2.16,0.94,"Not Significant",Adjusted,Extracted
55f9000d93d3,"Characteristics and clinical significance of myocardial injury in patients with severe coronavirus disease 2019",Age,AHR=1.04,1.0,1.07,<0.05,Significant,Adjusted,Extracted
5c5de1d24e73,"Characteristics and clinical significance of myocardial injury in patients with severe coronavirus disease 2019","Heart Failure",AHR=1.75,0.52,5.91,0.37,"Not Significant",Adjusted,Extracted
7a27f92e84c1,"Characteristics and clinical significance of myocardial injury in patients with severe coronavirus disease 2019","Heart Failure",AHR=2.42,0.83,7.06,0.11,"Not Significant",Adjusted,Extracted
83e2940fcfae,"Characteristics and clinical significance of myocardial injury in patients with severe coronavirus disease 2019",Diabetes,AHR=1.16,0.47,2.85,0.75,"Not Significant",Adjusted,Extracted
8cbbe36553a4,"Characteristics and clinical significance of myocardial injury in patients with severe coronavirus disease 2019","Heart Disease",AHR=1.63,0.61,4.4,0.33,"Not Significant",Adjusted,Extracted
c0d2f84e38d5,"Characteristics and clinical significance of myocardial injury in patients with severe coronavirus disease 2019",Diabetes,AHR=1.04,0.44,2.45,0.93,"Not Significant",Adjusted,Extracted
d17335f6c72e,"Characteristics and clinical significance of myocardial injury in patients with severe coronavirus disease 2019","Cerebrovascular disease",AHR=1.42,0.39,5.16,0.6,"Not Significant",Adjusted,Extracted
fa1f461f0442,"Characteristics and clinical significance of myocardial injury in patients with severe coronavirus disease 2019",Age,AHR=1.01,0.98,1.05,0.38,"Not Significant",Adjusted,Extracted
04b6969df8d5,"Characteristics and outcomes of a cohort of SARS-CoV-2 patients in the Province of Reggio","Heart Failure","HR 2.3",1.6,3.2,,Significant,Adjusted,Extracted
1b9b505bdf84,"Characteristics and outcomes of a cohort of SARS-CoV-2 patients in the Province of Reggio","Heart Disease","HR 1.7",1.2,2.5,,Significant,"Not Adjusted",Extracted
215df113940e,"Characteristics and outcomes of a cohort of SARS-CoV-2 patients in the Province of Reggio","Male gender","HR 1.6",1.2,2.1,,Significant,"Not Adjusted",Extracted
42b8c731f526,"Characteristics and outcomes of a cohort of SARS-CoV-2 patients in the Province of Reggio","Heart Disease","HR 1.7",1.25,2.5,,Significant,Adjusted,Extracted
7b19cfba45d6,"Characteristics and outcomes of a cohort of SARS-CoV-2 patients in the Province of Reggio",Dementia,"HR 1.8",1.1,2.8,,Significant,"Not Adjusted",Extracted
885e4ebebc71,"Characteristics and outcomes of a cohort of SARS-CoV-2 patients in the Province of Reggio",Cancer,"HR 1.4",1.0,2.0,,"Not Significant","Not Adjusted",Extracted
8991e5e8b7ea,"Characteristics and outcomes of a cohort of SARS-CoV-2 patients in the Province of Reggio",Cancer,"HR 1.4",1.0,2.0,,Significant,Adjusted,Extracted
