resultID,studyName,riskFactorName,severity,severityLowerBound,severityUpperBound,severitypValue,severitySignificance,severityAdjusted,severityCalculated
4c686abbc3ce,"Age-adjusted associations between comorbidity and outcomes of COVID-19: a review of the evidence",Cancer,AHR=3.50,1.6,7.64,,Significant,Adjusted,Extracted
4cbfb081a198,"Age-adjusted associations between comorbidity and outcomes of COVID-19: a review of the evidence",Hypertension,AHR=1.58,1.07,2.32,,Significant,Adjusted,Extracted
6414fcc919df,"Age-adjusted associations between comorbidity and outcomes of COVID-19: a review of the evidence",COPD,AHR=2.68,1.42,5.05,,Significant,Adjusted,Extracted
7be3541d1d21,"Age-adjusted associations between comorbidity and outcomes of COVID-19: a review of the evidence","Heart Disease",,,,,,,
c7988518f7bf,"Age-adjusted associations between comorbidity and outcomes of COVID-19: a review of the evidence","Cerebrovascular disease",,,,,,,
32161e330f66,"Anakinra for severe forms of COVID-19: a cohort study","Male gender",AHR=1.34,0.69,2.62,0.38,"Not Significant",Adjusted,Extracted
7c4be316c13d,"Analysis of hospitalized COVID-19 patients in the Mount Sinai Health System using electronic medical records (EMR) reveals important prognostic factors for improved clinical outcomes","Ethnicity_ Hispanic vs",,,,,,,
802a04fc5738,"Analysis of hospitalized COVID-19 patients in the Mount Sinai Health System using electronic medical records (EMR) reveals important prognostic factors for improved clinical outcomes","Race_ Black vs",,,,,,,
8cdfc7a016aa,"Analysis of hospitalized COVID-19 patients in the Mount Sinai Health System using electronic medical records (EMR) reveals important prognostic factors for improved clinical outcomes",Hypertension,,,,,,,
a0a9b26cd0be,"Analysis of hospitalized COVID-19 patients in the Mount Sinai Health System using electronic medical records (EMR) reveals important prognostic factors for improved clinical outcomes","Overweight or obese",,,,,,,
a13b870cdbed,"Analysis of hospitalized COVID-19 patients in the Mount Sinai Health System using electronic medical records (EMR) reveals important prognostic factors for improved clinical outcomes","Smoking Status",,,,,,,
a7b6c9457e44,"Analysis of hospitalized COVID-19 patients in the Mount Sinai Health System using electronic medical records (EMR) reveals important prognostic factors for improved clinical outcomes",Cancer,,,,,,,
ca6ac61eb323,"Analysis of hospitalized COVID-19 patients in the Mount Sinai Health System using electronic medical records (EMR) reveals important prognostic factors for improved clinical outcomes",Diabetes,,,,,,,
ed5f995e03ce,"Analysis of hospitalized COVID-19 patients in the Mount Sinai Health System using electronic medical records (EMR) reveals important prognostic factors for improved clinical outcomes","Male gender",,,,,,,
6e627f1c1448,"Analysis of myocardial injury in patients with COVID-19 and association between concomitant cardiovascular diseases and severity of COVID-19",Age,"AOR 1.02",0.96,1.08,0.52,"Not Significant",Adjusted,Extracted
cb7493537268,"Analysis of myocardial injury in patients with COVID-19 and association between concomitant cardiovascular diseases and severity of COVID-19",Age,"OR 1.06",1.02,1.09,<0.01,Significant,"Not Adjusted",Extracted
8ea642752aca,"Association between ABO blood groups and clinical outcome of coronavirus disease 2019: Evidence from two cohorts","Heart Disease","OR 1.96",0.73,5.21,0.18,"Not Significant","Not Adjusted",Calculated
adeadbf175ee,"Association between ABO blood groups and clinical outcome of coronavirus disease 2019: Evidence from two cohorts","Male gender","OR 0.74",0.31,1.78,0.5,"Not Significant","Not Adjusted",Calculated
0c21545389ca,"Association between Cardiovascular Burden and Requirement of Intensive Care among Patients with Mild COVID-19",Hypertension,"OR 5.00",2.43,10.26,0,Significant,"Not Adjusted",Calculated
1ccfa5bf0fa7,"Association between Cardiovascular Burden and Requirement of Intensive Care among Patients with Mild COVID-19","Heart Disease",AOR=6.43,3.21,12.88,<0.05,Significant,Adjusted,Extracted
2c91cfcc9ca4,"Association between Cardiovascular Burden and Requirement of Intensive Care among Patients with Mild COVID-19","Male gender",OR=1.40,0.79,2.48,0.25,"Not Significant","Not Adjusted",Extracted
33dcac4e992f,"Association between Cardiovascular Burden and Requirement of Intensive Care among Patients with Mild COVID-19",Age,AOR=0.99,0.96,1.02,0.55,"Not Significant",Adjusted,Extracted
37a4c6945451,"Association between Cardiovascular Burden and Requirement of Intensive Care among Patients with Mild COVID-19","Heart Disease",OR=6.55,3.36,12.76,<0.05,Significant,"Not Adjusted",Extracted
63d181c7c402,"Association between Cardiovascular Burden and Requirement of Intensive Care among Patients with Mild COVID-19","Heart Disease",AOR=2.65,1.02,6.98,<0.05,Significant,Adjusted,Extracted
82953e23e3bb,"Association between Cardiovascular Burden and Requirement of Intensive Care among Patients with Mild COVID-19","Male gender",AOR=1.38,0.72,2.66,0.33,"Not Significant",Adjusted,Extracted
c0fa3f8000b5,"Association between Cardiovascular Burden and Requirement of Intensive Care among Patients with Mild COVID-19",Age,AOR=0.99,0.97,1.02,0.6,"Not Significant",Adjusted,Extracted
c631f45e8aec,"Association between Cardiovascular Burden and Requirement of Intensive Care among Patients with Mild COVID-19",Age,OR=1.01,0.98,1.03,0.6,"Not Significant","Not Adjusted",Extracted
de12de4b1c05,"Association between Cardiovascular Burden and Requirement of Intensive Care among Patients with Mild COVID-19","Male gender",AOR=0.96,0.45,2.06,0.92,"Not Significant",Adjusted,Extracted
e6875c2b3e44,"Association between Cardiovascular Burden and Requirement of Intensive Care among Patients with Mild COVID-19",Age,AOR=0.99,0.97,1.02,0.65,"Not Significant",Adjusted,Extracted
ee06e150bc0a,"Association between Cardiovascular Burden and Requirement of Intensive Care among Patients with Mild COVID-19","Heart Disease",AOR=3.94,1.8,8.64,<0.05,Significant,Adjusted,Extracted
eef507832c15,"Association between Cardiovascular Burden and Requirement of Intensive Care among Patients with Mild COVID-19","Male gender",AOR=1.28,0.7,2.36,<0.05,Significant,Adjusted,Extracted
04a53632f7b1,"Association between comorbidities and the risk of death in patients with COVID-19: sex-specific differences","Chronic respiratory diseases",,,,,,,
06358bc98877,"Association between comorbidities and the risk of death in patients with COVID-19: sex-specific differences",Diabetes,,,,,,,
09ebf940f729,"Association between comorbidities and the risk of death in patients with COVID-19: sex-specific differences","Cerebrovascular disease",,,,,,,
157c8da36124,"Association between comorbidities and the risk of death in patients with COVID-19: sex-specific differences","Chronic kidney disease",,,,,,,
1c550511ea93,"Association between comorbidities and the risk of death in patients with COVID-19: sex-specific differences",Diabetes,,,,,,,
358f4680cd2b,"Association between comorbidities and the risk of death in patients with COVID-19: sex-specific differences","Cerebrovascular disease",,,,,,,
49fb2155dc6d,"Association between comorbidities and the risk of death in patients with COVID-19: sex-specific differences","Cerebrovascular disease",,,,,,,
52b199b12a8e,"Association between comorbidities and the risk of death in patients with COVID-19: sex-specific differences","Chronic respiratory diseases",,,,,,,
5fab71bd1f8f,"Association between comorbidities and the risk of death in patients with COVID-19: sex-specific differences",Hypertension,,,,,,,
658264cd04d2,"Association between comorbidities and the risk of death in patients with COVID-19: sex-specific differences","Chronic kidney disease",,,,,,,
6cfde535a51e,"Association between comorbidities and the risk of death in patients with COVID-19: sex-specific differences",Hypertension,,,,,,,
7d0b200513ff,"Association between comorbidities and the risk of death in patients with COVID-19: sex-specific differences",Hypertension,,,,,,,
7edf13c0ef3c,"Association between comorbidities and the risk of death in patients with COVID-19: sex-specific differences",Hypertension,,,,,,,
809ea1c49c20,"Association between comorbidities and the risk of death in patients with COVID-19: sex-specific differences","Chronic respiratory diseases",,,,,,,
b3eb06e0dfc6,"Association between comorbidities and the risk of death in patients with COVID-19: sex-specific differences","Chronic kidney disease",,,,,,,
b5bcff50cdf7,"Association between comorbidities and the risk of death in patients with COVID-19: sex-specific differences",Diabetes,,,,,,,
b6e1586790cd,"Association between comorbidities and the risk of death in patients with COVID-19: sex-specific differences","Chronic respiratory diseases",,,,,,,
bded69a0a2c5,"Association between comorbidities and the risk of death in patients with COVID-19: sex-specific differences","Cerebrovascular disease",,,,,,,
d27f2bc71af8,"Association between comorbidities and the risk of death in patients with COVID-19: sex-specific differences","Chronic kidney disease",,,,,,,
e6b7457613e0,"Association between comorbidities and the risk of death in patients with COVID-19: sex-specific differences",Diabetes,,,,,,,
43296d2af232,"Association between rRT-PCR test results upon admission and outcome in hospitalized chest CT-Positive COVID-19 patients; a provincial retrospective cohort with active follow-up","Chronic respiratory diseases",,,,,,,
66040e9ec111,"Association between rRT-PCR test results upon admission and outcome in hospitalized chest CT-Positive COVID-19 patients; a provincial retrospective cohort with active follow-up","Male gender",,,,,,,
788b27b7b948,"Association between rRT-PCR test results upon admission and outcome in hospitalized chest CT-Positive COVID-19 patients; a provincial retrospective cohort with active follow-up","Heart Disease",,,,,,,
7f8bccbb5513,"Association between rRT-PCR test results upon admission and outcome in hospitalized chest CT-Positive COVID-19 patients; a provincial retrospective cohort with active follow-up",Diabetes,,,,,,,
95386ec528e8,"Association between rRT-PCR test results upon admission and outcome in hospitalized chest CT-Positive COVID-19 patients; a provincial retrospective cohort with active follow-up",Hypertension,,,,,,,
f3f80b112a6d,"Association between rRT-PCR test results upon admission and outcome in hospitalized chest CT-Positive COVID-19 patients; a provincial retrospective cohort with active follow-up","Immune system disorders",,,,,,,
231cba103266,"Association of age, sex, comorbidities, and clinical symptoms with the severity and mortality of COVID-19 cases: a meta-analysis with 85 studies and 67299 cases",Hypertension,,,,,,,
414ef6c2193b,"Association of age, sex, comorbidities, and clinical symptoms with the severity and mortality of COVID-19 cases: a meta-analysis with 85 studies and 67299 cases",Diabetes,,,,,,,
494326e8eb94,"Association of age, sex, comorbidities, and clinical symptoms with the severity and mortality of COVID-19 cases: a meta-analysis with 85 studies and 67299 cases","Heart Disease",,,,,,,
594ed5f61008,"Association of age, sex, comorbidities, and clinical symptoms with the severity and mortality of COVID-19 cases: a meta-analysis with 85 studies and 67299 cases","Chronic liver disease",,,,,,,
6639db10b2fe,"Association of age, sex, comorbidities, and clinical symptoms with the severity and mortality of COVID-19 cases: a meta-analysis with 85 studies and 67299 cases","Chronic digestive disorders",,,,,,,
6bb94866a4e5,"Association of age, sex, comorbidities, and clinical symptoms with the severity and mortality of COVID-19 cases: a meta-analysis with 85 studies and 67299 cases","Chronic respiratory diseases",,,,,,,
6e0eff93810d,"Association of age, sex, comorbidities, and clinical symptoms with the severity and mortality of COVID-19 cases: a meta-analysis with 85 studies and 67299 cases","Male gender",,,,,,,
84dcce6dcdbe,"Association of age, sex, comorbidities, and clinical symptoms with the severity and mortality of COVID-19 cases: a meta-analysis with 85 studies and 67299 cases","Cerebrovascular disease",,,,,,,
991dd7e2ef0f,"Association of age, sex, comorbidities, and clinical symptoms with the severity and mortality of COVID-19 cases: a meta-analysis with 85 studies and 67299 cases",Cancer,,,,,,,
c888f51cf959,"Association of age, sex, comorbidities, and clinical symptoms with the severity and mortality of COVID-19 cases: a meta-analysis with 85 studies and 67299 cases","Chronic kidney disease",,,,,,,
9a190b409ac8,"Association of Cardiovascular Disease with Coronavirus Disease 2019 (COVID-19) Severity: A Meta-Analysis Association of Cardiovascular Disease with Coronavirus Disease 2019 (COVID-19) Severity: A Meta-Analysis","Heart Disease","OR 3.14",2.32,4.24,,Significant,"Not Adjusted",Extracted
5f220582ef81,"Association of Diabetes Mellitus with Disease Severity and Prognosis in COVID-19: A Retrospective Cohort Study",Diabetes,,,,,,,
f90c3a946bcd,"Association of Digestive Symptoms and Hospitalization in Patients with SARS-CoV-2 Infection",Diabetes,"OR 4.42",1.54,12.63,0.01,Significant,"Not Adjusted",Calculated
ff5d11496559,"Association of Digestive Symptoms and Hospitalization in Patients with SARS-CoV-2 Infection",Hypertension,"OR 2.95",1.07,8.1,0.04,Significant,"Not Adjusted",Calculated
2f786b6ad440,"Association of hypertension with the severity and fatality of SARS-CoV-2 infection: A meta-analysis",Hypertension,OR=2.27,1.8,2.86,,Significant,"Not Adjusted",Extracted
0369b9a9374b,"Association of Obesity with Disease Severity among Patients with COVIDâ€19",Diabetes,AOR=1.91,0.71,5.19,0.2,"Not Significant",Adjusted,Extracted
0ce704217100,"Association of Obesity with Disease Severity among Patients with COVIDâ€19","Overweight or obese",AOR=2.65,0.64,10.95,0.18,"Not Significant",Adjusted,Extracted
0d6acf19c23a,"Association of Obesity with Disease Severity among Patients with COVIDâ€19","Overweight or obese",AOR=2.56,0.64,10.1,0.1,"Not Significant",Adjusted,Extracted
0d9406bc02f2,"Association of Obesity with Disease Severity among Patients with COVIDâ€19","Race_ Black vs",AOR=0.86,0.29,2.56,0.8,"Not Significant",Adjusted,Extracted
0da2741dd65c,"Association of Obesity with Disease Severity among Patients with COVIDâ€19","Chronic respiratory diseases",AOR=1.50,0.47,4.82,0.5,"Not Significant",Adjusted,Extracted
1c3314fc5911,"Association of Obesity with Disease Severity among Patients with COVIDâ€19","Ethnicity_ Hispanic vs",AOR=0.56,0.19,1.58,0.27,"Not Significant",Adjusted,Extracted
1d71312fddd6,"Association of Obesity with Disease Severity among Patients with COVIDâ€19","Heart Disease",OR=2.04,0.82,5.07,0.13,"Not Significant","Not Adjusted",Extracted
4325edd80299,"Association of Obesity with Disease Severity among Patients with COVIDâ€19","Race_ Black vs",OR=0.93,0.34,2.54,0.89,"Not Significant","Not Adjusted",Extracted
477ebf6be748,"Association of Obesity with Disease Severity among Patients with COVIDâ€19","Overweight or obese",OR=2.80,0.75,10.48,0.13,"Not Significant","Not Adjusted",Extracted
4af7efc0bdc2,"Association of Obesity with Disease Severity among Patients with COVIDâ€19","Smoking Status","OR 1.16",0.5,2.69,0.74,"Not Significant","Not Adjusted",Extracted
4c3fb04ec8f7,"Association of Obesity with Disease Severity among Patients with COVIDâ€19","Overweight or obese",AOR=6.16,1.42,26.66,<0.05,Significant,Adjusted,Extracted
4f67c7a037e7,"Association of Obesity with Disease Severity among Patients with COVIDâ€19","Male gender",AOR=2.24,0.86,5.78,0.1,"Not Significant",Adjusted,Extracted
6340233e1fd6,"Association of Obesity with Disease Severity among Patients with COVIDâ€19",Diabetes,OR=2.26,1.0,5.11,0.05,"Not Significant","Not Adjusted",Extracted
688bf01a7992,"Association of Obesity with Disease Severity among Patients with COVIDâ€19","Overweight or obese",OR=3.02,0.85,10.74,0.09,"Not Significant","Not Adjusted",Extracted
68f6b939c548,"Association of Obesity with Disease Severity among Patients with COVIDâ€19","Male gender",AOR=2.40,0.87,6.64,0.09,"Not Significant",Adjusted,Extracted
77d03bbdbbd0,"Association of Obesity with Disease Severity among Patients with COVIDâ€19","Overweight or obese",AOR=2.27,0.59,8.83,0.24,"Not Significant",Adjusted,Extracted
7d84ce02d4f1,"Association of Obesity with Disease Severity among Patients with COVIDâ€19",Hypertension,OR=1.64,0.71,3.75,0.25,"Not Significant","Not Adjusted",Extracted
8496f21dd177,"Association of Obesity with Disease Severity among Patients with COVIDâ€19","Ethnicity_ Hispanic vs",AOR=0.65,0.24,1.76,0.4,"Not Significant",Adjusted,Extracted
8e32c133f315,"Association of Obesity with Disease Severity among Patients with COVIDâ€19","Male gender",OR=1.42,0.63,3.19,0.39,"Not Significant","Not Adjusted",Extracted
a5f92d7c93f5,"Association of Obesity with Disease Severity among Patients with COVIDâ€19","Heart Disease",AOR=1.52,0.51,4.51,0.45,"Not Significant",Adjusted,Extracted
ade3cf5097bd,"Association of Obesity with Disease Severity among Patients with COVIDâ€19","Race_ Black vs",AOR=0.80,0.26,2.45,0.7,"Not Significant",Adjusted,Extracted
b6972fb0157e,"Association of Obesity with Disease Severity among Patients with COVIDâ€19","Overweight or obese",AOR=2.14,0.58,7.88,0.25,"Not Significant",Adjusted,Extracted
b70125496f3b,"Association of Obesity with Disease Severity among Patients with COVIDâ€19","Chronic respiratory diseases",OR=1.85,0.69,4.96,0.22,"Not Significant","Not Adjusted",Extracted
d217eda0ad5a,"Association of Obesity with Disease Severity among Patients with COVIDâ€19","Overweight or obese",AOR=5.39,1.13,25.64,<0.05,Significant,Adjusted,Extracted
dc976c8c9aef,"Association of Obesity with Disease Severity among Patients with COVIDâ€19",Hypertension,AOR=0.79,0.27,2.28,0.66,"Not Significant",Adjusted,Extracted
e7534262a14c,"Association of Obesity with Disease Severity among Patients with COVIDâ€19","Ethnicity_ Hispanic vs",OR=0.57,0.23,1.45,0.24,"Not Significant","Not Adjusted",Extracted
fdd77fd1932e,"Association of Obesity with Disease Severity among Patients with COVIDâ€19","Overweight or obese",OR=1.87,0.55,6.35,0.32,"Not Significant","Not Adjusted",Extracted
124601ed13ca,"Association of the insulin resistance marker TyG index with the severity and mortality of COVID-19","Heart Disease","OR 1.99",0.7,5.66,0.2,"Not Significant","Not Adjusted",Calculated
223134739378,"Association of the insulin resistance marker TyG index with the severity and mortality of COVID-19",Hypertension,"OR 3.32",1.68,6.57,0,Significant,"Not Adjusted",Calculated
76d9474bd96f,"Association of the insulin resistance marker TyG index with the severity and mortality of COVID-19","Male gender","OR 2.44",1.25,4.76,0.01,Significant,"Not Adjusted",Calculated
c27fc480be39,"Association of the insulin resistance marker TyG index with the severity and mortality of COVID-19","Chronic kidney disease","OR 1.80",0.52,6.18,0.35,"Not Significant","Not Adjusted",Calculated
fee446a9bdee,"Association of the insulin resistance marker TyG index with the severity and mortality of COVID-19",Diabetes,"OR 2.64",1.27,5.68,0.01,Significant,"Not Adjusted",Calculated
3ef85d158a1d,"Associations of clinical characteristics and antiviral drugs with viral RNA clearance in patients with COVID-19 in Guangzhou, China: a retrospective cohort study [medrxiv]","Smoking Status","OR 1.51",0.57,3.99,0.41,"Not Significant","Not Adjusted",Calculated
67ea24d5cf98,"Associations of clinical characteristics and antiviral drugs with viral RNA clearance in patients with COVID-19 in Guangzhou, China: a retrospective cohort study [medrxiv]","Male gender","OR 1.69",0.89,3.21,0.11,"Not Significant","Not Adjusted",Calculated
20b56660e259,"Asthma prolongs intubation in COVID-19",Asthma,"OR 1.24",1.0,1.5,,"Not Significant","Not Adjusted",Extracted
73d8ac88577d,"Asthma prolongs intubation in COVID-19",Asthma,"OR 1.14",0.4,3.25,,"Not Significant","Not Adjusted",Extracted
c180e8c97966,"Asthma prolongs intubation in COVID-19",Asthma,"OR 1.04",0.34,2.62,,"Not Significant","Not Adjusted",Extracted
15fa712ac535,"Blood glucose is a representative of the clustered indicators of multi-organ injury for predicting mortality of COVID-19 in Wuhan China","Male gender","OR 0.89",0.33,2.36,0.81,"Not Significant","Not Adjusted",Calculated
d62178bf081d,"Blood glucose is a representative of the clustered indicators of multi-organ injury for predicting mortality of COVID-19 in Wuhan China","Male gender","OR 2.45",0.9,6.65,0.08,"Not Significant","Not Adjusted",Calculated
3d38828f20fd,"Cancer is associated with the severity and mortality of patients with COVID-19: a systematic review and meta-analysis",Cancer,"OR 2.84",1.75,4.62,<0.01,Significant,"Not Adjusted",Extracted
d3cf20759362,"Cardiac injuries in patients with coronavirus disease 2019: Not to be ignored","Male gender",,,,,,,
13878cde67c9,"Cardiovascular Disease, Drug Therapy, and Mortality in Covid-19","Race_ Black vs",,,,,,,
1df28a5e0593,"Cardiovascular Disease, Drug Therapy, and Mortality in Covid-19",COPD,,,,,,,
5162822a9df7,"Cardiovascular Disease, Drug Therapy, and Mortality in Covid-19","Heart Disease",,,,,,,
7a4064b1b7d2,"Cardiovascular Disease, Drug Therapy, and Mortality in Covid-19","Smoking Status",,,,,,,
8e34560c5134,"Cardiovascular Disease, Drug Therapy, and Mortality in Covid-19",COPD,,,,,,,
942536478807,"Cardiovascular Disease, Drug Therapy, and Mortality in Covid-19","Heart Disease",,,,,,,
a3cf0e097396,"Cardiovascular Disease, Drug Therapy, and Mortality in Covid-19",Hypertension,,,,,,,
cdf2e81fa7c8,"Cardiovascular Disease, Drug Therapy, and Mortality in Covid-19","Smoking Status",,,,,,,
f20a5e719a01,"Cardiovascular Disease, Drug Therapy, and Mortality in Covid-19","Ethnicity_ Hispanic vs",,,,,,,
ff38090c6808,"Cardiovascular Disease, Drug Therapy, and Mortality in Covid-19",Diabetes,,,,,,,
aadfecbaff98,"Cardiovascular Diseases and COVID-19 Mortality and Intensive Care Unit Admission: A Systematic Review and Meta-analysis","Heart Disease",,,,,,,
dd371e83dfb2,"Cardiovascular Diseases and COVID-19 Mortality and Intensive Care Unit Admission: A Systematic Review and Meta-analysis","Heart Failure",,,,,,,
3225b54bcf28,"Cardiovascular Diseases and COVID-19 Mortality and Intensive Care Unit Admission: A Systematic Review and Meta-analysis [medrxiv]","Heart Disease","OR 4.19",1.27,13.8,,Significant,"Not Adjusted",Extracted
dc26755edd5f,"Cardiovascular Diseases and COVID-19 Mortality and Intensive Care Unit Admission: A Systematic Review and Meta-analysis [medrxiv]","Male gender",,,,,,,
4744307292ee,"Case fatality risk of novel coronavirus diseases 2019 in China",Age,,,,,,,
82408f5f31c9,"Caution on Kidney Dysfunctions of COVID-19 Patients","Chronic digestive disorders","OR 2.40",0.92,6.25,0.07,"Not Significant","Not Adjusted",Calculated
8e5a8ef45e82,"Caution on Kidney Dysfunctions of COVID-19 Patients","Cardio- and cerebrovascular disease","OR 1.71",0.93,3.16,0.09,"Not Significant","Not Adjusted",Calculated
de348ccfc336,"Caution on Kidney Dysfunctions of COVID-19 Patients","Chronic respiratory diseases","OR 4.18",1.79,9.78,<0.01,Significant,"Not Adjusted",Calculated
ed28a6ea7d4d,"Caution on Kidney Dysfunctions of COVID-19 Patients","Endocrine diseases","OR 1.19",0.57,2.49,0.65,"Not Significant","Not Adjusted",Calculated
0a4105e05338,"Cerebrovascular disease is associated with an increased disease severity in patients with Coronavirus Disease 2019 (COVID-19): A pooled analysis of published literature","Cerebrovascular disease",OR=2.55,1.18,5.51,,Significant,"Not Adjusted",Extracted
155d550621e5,"Characteristics and clinical significance of myocardial injury in patients with severe coronavirus disease 2019","Male gender",,,,,,,
289ce79fea6c,"Characteristics and clinical significance of myocardial injury in patients with severe coronavirus disease 2019","Male gender",,,,,,,
2a24e7582511,"Characteristics and clinical significance of myocardial injury in patients with severe coronavirus disease 2019","Chronic kidney disease",,,,,,,
2d927f14536f,"Characteristics and clinical significance of myocardial injury in patients with severe coronavirus disease 2019","Heart Disease",,,,,,,
338ccce48187,"Characteristics and clinical significance of myocardial injury in patients with severe coronavirus disease 2019","Cerebrovascular disease",,,,,,,
34f450abfd13,"Characteristics and clinical significance of myocardial injury in patients with severe coronavirus disease 2019","Chronic kidney disease",,,,,,,
3c0a0abbd4cc,"Characteristics and clinical significance of myocardial injury in patients with severe coronavirus disease 2019",Hypertension,,,,,,,
538820f55f1e,"Characteristics and clinical significance of myocardial injury in patients with severe coronavirus disease 2019",Hypertension,,,,,,,
55f9000d93d3,"Characteristics and clinical significance of myocardial injury in patients with severe coronavirus disease 2019",Age,,,,,,,
5c5de1d24e73,"Characteristics and clinical significance of myocardial injury in patients with severe coronavirus disease 2019","Heart Failure",,,,,,,
7a27f92e84c1,"Characteristics and clinical significance of myocardial injury in patients with severe coronavirus disease 2019","Heart Failure",,,,,,,
83e2940fcfae,"Characteristics and clinical significance of myocardial injury in patients with severe coronavirus disease 2019",Diabetes,,,,,,,
8cbbe36553a4,"Characteristics and clinical significance of myocardial injury in patients with severe coronavirus disease 2019","Heart Disease",,,,,,,
c0d2f84e38d5,"Characteristics and clinical significance of myocardial injury in patients with severe coronavirus disease 2019",Diabetes,,,,,,,
d17335f6c72e,"Characteristics and clinical significance of myocardial injury in patients with severe coronavirus disease 2019","Cerebrovascular disease",,,,,,,
fa1f461f0442,"Characteristics and clinical significance of myocardial injury in patients with severe coronavirus disease 2019",Age,,,,,,,
04b6969df8d5,"Characteristics and outcomes of a cohort of SARS-CoV-2 patients in the Province of Reggio","Heart Failure",,,,,,,
1b9b505bdf84,"Characteristics and outcomes of a cohort of SARS-CoV-2 patients in the Province of Reggio","Heart Disease","HR 1.3",1.0,1.7,,"Not Significant","Not Adjusted",Extracted
215df113940e,"Characteristics and outcomes of a cohort of SARS-CoV-2 patients in the Province of Reggio","Male gender",,,,,,,
42b8c731f526,"Characteristics and outcomes of a cohort of SARS-CoV-2 patients in the Province of Reggio","Heart Disease",,,,,,,
7b19cfba45d6,"Characteristics and outcomes of a cohort of SARS-CoV-2 patients in the Province of Reggio",Dementia,"HR 1.2",0.9,1.8,,"Not Significant","Not Adjusted",Extracted
885e4ebebc71,"Characteristics and outcomes of a cohort of SARS-CoV-2 patients in the Province of Reggio",Cancer,"HR 1.4",1.1,1.7,,Significant,"Not Adjusted",Extracted
8991e5e8b7ea,"Characteristics and outcomes of a cohort of SARS-CoV-2 patients in the Province of Reggio",Cancer,,,,,,,
a1b7179e2160,"Characteristics and outcomes of a cohort of SARS-CoV-2 patients in the Province of Reggio","Chronic kidney disease",,,,,,,
bc838c58b33b,"Characteristics and outcomes of a cohort of SARS-CoV-2 patients in the Province of Reggio","Overweight or obese",,,,,,,
bf1501ab54ad,"Characteristics and outcomes of a cohort of SARS-CoV-2 patients in the Province of Reggio","Male gender","HR 1.4",1.2,1.6,,Significant,"Not Adjusted",Extracted
d41ee853c1f4,"Characteristics and outcomes of a cohort of SARS-CoV-2 patients in the Province of Reggio","Chronic kidney disease","HR 1.9",1.3,2.9,,Significant,"Not Adjusted",Extracted
da6a76f658ff,"Characteristics and outcomes of a cohort of SARS-CoV-2 patients in the Province of Reggio",Dementia,,,,,,,
db8a5932bc5c,"Characteristics and outcomes of a cohort of SARS-CoV-2 patients in the Province of Reggio",COPD,,,,,,,
